candidate_id,rank,score,reasoning
CAND_0081846,1,0.9288,"Lead AI Engineer at Razorpay with 6.7 years experience: hands-on embeddings/retrieval work (Embeddings, Semantic Search), and production vector-search experience (faiss, hybrid retrieval). Strong match against the JD's core requirements."
CAND_0002025,2,0.9151,"Senior AI Engineer at Apple with 5.9 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), and production vector-search experience (hybrid retrieval). Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0068811,3,0.9143,"Applied ML Engineer at Freshworks with 8.0 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), and production vector-search experience (Pinecone). Strong match against the JD's core requirements."
CAND_0077337,4,0.9073,"Staff Machine Learning Engineer at Paytm with 7.0 years experience: hands-on embeddings/retrieval work (Semantic Search, embedding), and production vector-search experience (hybrid retrieval). Strong match against the JD's core requirements."
CAND_0046525,5,0.8922,"Senior Machine Learning Engineer at Genpact AI with 6.1 years experience: hands-on embeddings/retrieval work (embedding, bge), and production vector-search experience (faiss, hybrid retrieval). Strong match against the JD's core requirements."
CAND_0011687,6,0.8906,"Senior NLP Engineer at Niramai with 7.8 years experience: hands-on embeddings/retrieval work (embedding, bge), and production vector-search experience (pinecone, hybrid retrieval). Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0054394,7,0.8889,"Recommendation Systems Engineer at PharmEasy with 4.1 years experience: hands-on embeddings/retrieval work (sentence-transformer, bge), and production vector-search experience (elasticsearch, faiss). Only concern: 4.1 years of experience is outside the JD's stated 5-9y band."
CAND_0064326,8,0.8849,"Search Engineer at Sarvam AI with 7.6 years experience: hands-on embeddings/retrieval work (embedding), and production vector-search experience (pinecone). Strong match against the JD's core requirements."
CAND_0099806,9,0.8814,"AI Engineer at Mad Street Den with 4.6 years experience: hands-on embeddings/retrieval work (embedding), and real evaluation-framework experience (A/B testing / offline-online correlation). Only concern: 4.6 years of experience is outside the JD's stated 5-9y band."
CAND_0051004,10,0.8782,"Senior Data Scientist at CRED with 4.7 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), and production vector-search experience (pinecone). Only concern: 4.7 years of experience is outside the JD's stated 5-9y band."
CAND_0093912,11,0.876,"Senior Data Scientist at Razorpay with 5.3 years experience: hands-on embeddings/retrieval work (sentence-transformer, bge), and production vector-search experience (Elasticsearch, faiss). Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0055905,12,0.8747,"Senior Machine Learning Engineer at Flipkart with 8.1 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), and production vector-search experience (faiss, hybrid retrieval). Only concern: location concern: outside India (no visa sponsorship)."
CAND_0041610,13,0.8694,"Recommendation Systems Engineer at Zoho with 6.7 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), and production vector-search experience (pinecone). Strong match against the JD's core requirements."
CAND_0042506,14,0.8622,"Search Engineer at Verloop.io with 4.2 years experience: hands-on embeddings/retrieval work (Semantic Search, embedding), and production vector-search experience (FAISS, pinecone). Only concern: 4.2 years of experience is outside the JD's stated 5-9y band."
CAND_0040887,15,0.8576,"Machine Learning Engineer at Netflix with 4.7 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), and production vector-search experience (FAISS, pinecone). Only concern: location concern: outside India (no visa sponsorship)."
CAND_0044222,16,0.8572,"AI Engineer at PolicyBazaar with 7.7 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), and production vector-search experience (elasticsearch, faiss). Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0036184,17,0.8436,"Recommendation Systems Engineer at CRED with 6.0 years experience: hands-on embeddings/retrieval work (Semantic Search, sentence-transformer), and production vector-search experience (FAISS, elasticsearch). Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0014440,18,0.8372,"Recommendation Systems Engineer at CRED with 6.4 years experience: hands-on embeddings/retrieval work (embedding), and real evaluation-framework experience (A/B testing / offline-online correlation). Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0072660,19,0.8357,"Machine Learning Engineer at Unacademy with 7.1 years experience: hands-on embeddings/retrieval work (sentence-transformer, semantic search), and production vector-search experience (FAISS). Only concern: location concern: outside India (no visa sponsorship)."
CAND_0005509,20,0.8241,"Data Scientist at Ola with 6.0 years experience: has shipped a production ranking/recommendation/search system, and 5.8 years in applied ML/AI at product companies. Only concern: limited direct evidence of embeddings/vector-search production experience."
CAND_0075574,21,0.822,"Machine Learning Engineer at Haptik with 5.7 years experience: hands-on embeddings/retrieval work (embedding), and production vector-search experience (pinecone). Strong match against the JD's core requirements."
CAND_0053591,22,0.818,"AI Engineer at Ola with 5.3 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), and production vector-search experience (pinecone, faiss). Only concern: location concern: outside India (no visa sponsorship)."
CAND_0076163,23,0.8087,"NLP Engineer at Ola with 6.9 years experience: real evaluation-framework experience (A/B testing / offline-online correlation), and has shipped a production ranking/recommendation/search system. Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0027691,24,0.801,"NLP Engineer at Haptik with 6.5 years experience: hands-on embeddings/retrieval work (Semantic Search, sentence-transformer), and production vector-search experience (elasticsearch, faiss). Only concern: last active 92 days ago."
CAND_0015967,25,0.7985,"Senior Software Engineer (ML) at Razorpay with 5.4 years experience: has shipped a production ranking/recommendation/search system, and 4.8 years in applied ML/AI at product companies. Only concern: limited direct evidence of embeddings/vector-search production experience."
CAND_0000031,26,0.7983,"Recommendation Systems Engineer at Swiggy with 6.0 years experience: hands-on embeddings/retrieval work (embedding), but trajectory shows 4 jobs averaging 18 months each -- title-hopping risk."
CAND_0011327,27,0.7975,"AI Research Engineer at Krutrim with 6.3 years experience: has shipped a production ranking/recommendation/search system, but limited direct evidence of embeddings/vector-search production experience."
CAND_0010770,28,0.7906,"Recommendation Systems Engineer at Aganitha with 15.2 years experience: hands-on embeddings/retrieval work (sentence-transformer, bge), but 15.2 years of experience is outside the JD's stated 5-9y band."
